100castles,城名,都道府県,市区町村,緯度,経度,入場料（大人）,共通券内観光スポット1,共通券料金1,共通券内観光スポット2,共通券料金2,参考HP,イラストURL,アイコンURL,写真URL
49,小谷城,滋賀県,長浜市,35.4740036,136.2081794,0,,,,,http://www.eonet.ne.jp/~odanijou-s/,,,
50,彦根城,滋賀県,彦根市,35.276452,136.2474686,1000,,,,,http://hikone-410th.com/,,,
51,安土城,滋賀県,近江八幡市,35.1534372,136.1408504,700,,,,,https://www.biwako-visitors.jp/spot/detail/831,https://code4sabae.github.io/shirostamp100/img/oshiro_aduchijou.png,https://code4sabae.github.io/shirostamp100/icon/oshiro_aduchijou.png,
52,観音寺城,滋賀県,近江八幡市,35.1458413,136.1554885,500,,,,,http://k3k.jp/kinugasa-yama/,,,
53,二条城,京都府,京都市,35.0142299,135.748218,600,,,,,http://www2.city.kyoto.lg.jp/bunshi/nijojo/index.html,,,
54,大坂城,大阪府,大阪市,34.6873153,135.5262013,600,,,,,http://www.osakacastle.net/,https://code4sabae.github.io/shirostamp100/img/landmark_oosakajou.png,https://code4sabae.github.io/shirostamp100/icon/landmark_oosakajou.png,
55,千早城,大阪府,千早赤阪村,34.4169867,135.6492481,0,,,,,http://www.chihayaakasaka.org/tourism/j_castle.html,,,
56,竹田城,兵庫県,朝来市,35.3006044,134.8291681,500,,,,,http://wadayama.jp/takedajyoseki,https://code4sabae.github.io/shirostamp100/img/takedajou.png,https://code4sabae.github.io/shirostamp100/icon/takedajou.png,
57,篠山城,兵庫県,篠山市,35.0730832,135.2156322,400,,,,,https://tourism.sasayama.jp/association/2013/01/post-48.html,,,
58,明石城,兵庫県,明石市,34.6528009,134.9917886,0,,,,,https://www.hyogo-park.or.jp/akashi/contents/sisetsu/map01_2.html,,,
59,姫路城,兵庫県,姫路市,34.839449,134.6939047,1000,,,,,http://www.city.himeji.lg.jp/guide/castle/,https://code4sabae.github.io/shirostamp100/img/kankou_himejijou.png,https://code4sabae.github.io/shirostamp100/icon/kankou_himejijou.png,
60,赤穂城,兵庫県,赤穂市,34.745674,134.388985,0,,,,,http://www.ako-hyg.ed.jp/bunkazai/akojo/,,,
61,高取城,奈良県,高取町,34.4293872,135.8246734,0,,,,,http://sightseeing.takatori.info/sightseeingspot/siroato.html,,,
62,和歌山城,和歌山県,和歌山市,34.2294761,135.1738548,410,,,,,http://wakayamajo.jp/index.html,,,
63,鳥取城,鳥取県,鳥取市,35.507426,134.239995,150,,,,,http://www.tbz.or.jp/jinpuukaku/,,,
64,松江城,島根県,松江市,35.4751335,133.0484896,560,,,,,http://www.matsue-tourism.or.jp/m_castle/,,,
65,月山富田城,島根県,安来市,35.3609317,133.1830298,0,,,,,http://www.yasugi-kankou.com/index.php?view=5228,,,
66,津和野城,島根県,津和野町,34.4582171,131.7589231,0,,,,,http://www.kankou-shimane.com/ja/spot/detail/971,,,
67,津山城,岡山県,津山市,35.0621398,134.0030167,300,,,,,http://www.tsuyamakan.jp/tour/detail/?pk=58,,,
68,備中松山城,岡山県,高梁市,34.809081,133.6201174,300,,,,,http://www.city.takahashi.okayama.jp/soshiki/9/shiro4240131.html,,,
69,鬼ノ城,岡山県,総社市,34.7254737,133.7601847,0,,,,,http://www.city.soja.okayama.jp/shoukou_kanko/kanko/kannkou_bunnka/kankouti/kinojyo/kinojo.html,,,
70,岡山城,岡山県,岡山市,34.66519,133.9338693,300,,,,,https://okayama-kanko.net/ujo/,,,
71,福山城,広島県,福山市,34.491069,133.3589302,200,,,,,http://www.city.fukuyama.hiroshima.jp/site/fukuyamajo/,,,
72,吉田郡山城,広島県,安芸高田市,34.6736223,132.7073215,0,,,,,http://akitakata-kankou.jp/navi/%E9%83%A1%E5%B1%B1%E5%9F%8E%E8%B7%A1/,,,
73,広島城,広島県,広島市,34.4014949,132.4552292,370,,,,,http://www.rijo-castle.jp/,,,
74,岩国城,山口県,岩国市,34.1752398,132.172017,260,,,,,http://kankou.iwakuni-city.net/iwakunijyo.html,,,
75,萩城,山口県,萩市,34.4179549,131.3820209,210,,,,,http://www.oidemase.or.jp/tourism-information/spots/14022,,,
76,徳島城,徳島県,徳島市,34.0660912,134.5464894,300,,,,,https://www.city.tokushima.tokushima.jp/johaku/,,,
